From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
4423;5370;sea;6040;-1;-1;-1;-1;;ZESIslands
7572;1293;sea;8334;-1;-1;-1;-1;;Sydia-SaltIsland
5670;5041;sea;2996;-1;-1;-1;-1;;Deerland-Nimbusia
8289;5561;sea;5445;-1;-1;-1;-1;;Cyanolisia-Minotauria
1786;4859;sea;411;-1;-1;-1;-1;;Sicameon-Minotauria
1252;4859;sea;411;-1;-1;-1;-1;;Sicameon-Minotauria
5124;1252;sea;411;-1;-1;-1;-1;;Sicameon-Sicameon
4396;4323;sea;4259;-1;-1;-1;-1;;Minotauria4
4323;1123;sea;4259;-1;-1;-1;-1;;Minotauria4
1123;7415;sea;4259;-1;-1;-1;-1;;Minotauria4
4252;2047;sea;4259;-1;-1;-1;-1;;Minotauria5
4252;8653;sea;3826;-1;-1;-1;-1;;Minotauria5
8653;2972;sea;3826;-1;-1;-1;-1;;Minotauria5
5691;7922;sea;411;-1;-1;-1;-1;;Minotauria6
5458;7387;sea;2864;-1;-1;-1;-1;;Minotauria7
7387;1708;sea;2864;-1;-1;-1;-1;;Minotauria7
8091;2117;sea;2864;-1;-1;-1;-1;;Minotauria7
8300;8404;;-1;-1;-1;-1;-1;WETERVEDINA_STRAIT;Boreal West
8300;2499;;-1;-1;-1;-1;-1;WETERVEDINA_STRAIT;Boreal East
1256;2285;sea;8281;-1;-1;-1;-1;T_AR;Boreal West
-1;-1;;-1;-1;-1;-1;-1;;
